2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,GeoFIPS,GeoName,Unit,State
182209.7,185917.2,195386.1,204665.9,219862.4,231339.0,243104.4,248261.6,255546.7,252940.7,258657.6,270055.0,285897.5,296756.3,307448.5,326382.5,339350.2,355417.5,369713.2,385833.0,391563.2,441952.5,488670.1,523031.6," ""47000""",Tennessee,Millions of current dollars,TN
45604.9,47037.3,49109.6,51609.7,54545.7,56914.6,60152.7,61984.8,62095.3,,,66557.3,68412.0,70897.4,73455.1,77385.8,79759.7,81179.6,83859.4,87868.2,88527.7,99092.6,106488.0,114100.8," ""33000""",New Hampshire,Millions of current dollars,NH
287091.4,294876.4,299915.8,309736.1,324919.0,340637.8,358418.3,377985.6,387923.4,388963.9,409270.0,423684.9,441373.9,452580.4,469824.9,497767.0,514108.0,530129.4,559605.0,588069.5,592653.0,649511.4,695612.1,736296.3," ""25000""",Massachusetts,Millions of current dollars,MA
490094.4,519140.7,553359.9,590284.8,647041.8,704890.3,749925.0,781947.3,767357.8,739322.4,752998.4,761043.1,784545.9,819679.8,860112.6,918464.3,964500.8,1014866.9,1072085.6,1133718.0,1142004.4,1298631.2,1465281.1,1600810.6," ""12000""",Florida,Millions of current dollars,FL
165523.4,171124.4,172929.7,177814.8,194722.9,204504.6,219812.2,232626.8,236110.7,,234022.2,233058.7,239907.5,240549.2,247114.7,260648.5,264760.4,273875.1,,286451.9,278029.4,296801.3,321686.4,345911.9," ""09000""",Connecticut,Millions of current dollars,CT
391032.3,395864.2,411191.1,425530.7,447813.3,470179.5,482904.0,497600.1,500916.4,484407.1,500274.2,525456.4,543035.4,566419.9,597152.3,615275.5,627294.7,652187.5,672540.1,702914.8,692683.7,763595.8,832660.7,884834.2," ""39000""",Ohio,Millions of current dollars,OH
43559.6,,45865.4,47839.6,,52048.6,,,55250.8,,58132.2,61379.4,62342.1,,68606.0,72352.5,70021.5,69555.6,73376.0,78710.5,77520.3,83069.8,92558.2,98068.7," ""10000""",Delaware,Millions of current dollars,DE
132375.8,138204.3,140082.8,155198.7,170999.6,199314.2,207249.8,203771.3,213803.5,206111.5,226555.6,230518.7,235960.9,231652.7,240965.0,234324.2,227440.3,239830.7,256444.4,257499.0,236216.3,267263.6,298424.5,314988.6," ""22000""",Louisiana,Millions of current dollars,LA
165735.6,172899.6,180844.5,194318.0,207246.3,227997.8,246061.1,261152.8,261005.8,244862.2,250527.0,261691.4,272703.3,278679.5,286676.0,298942.2,313787.1,333099.0,353671.0,375376.7,388956.7,436778.6,484052.2,522767.2," ""04000""",Arizona,Millions of current dollars,AZ
742161.5,780206.2,796357.3,840860.8,921230.7,1003745.9,1108236.5,1198565.0,1253142.0,1179168.1,1255660.8,1351776.9,1429588.0,1526781.9,1592177.6,1585985.9,1582981.5,1667313.0,1808026.9,1864872.3,1802143.7,2088972.3,2436925.0,2583866.2," ""48000""",Texas,Millions of current dollars,TX
26934.0,28660.9,29884.5,32115.8,35389.5,40459.9,44951.7,49456.4,55246.7,50165.9,53654.0,56912.3,58320.7,57533.0,56587.4,51574.2,51121.8,53550.9,54762.0,54549.6,51283.4,58943.5,66271.9,68056.0," ""02000""",Alaska,Millions of current dollars,AK
1354791.3,1373270.8,1419321.8,1498578.0,1585081.4,1698858.4,1812161.6,1900220.4,1946241.5,1879809.5,1938603.3,2014050.3,2108873.1,2223300.9,2342218.8,2487156.4,2586485.2,2740550.3,2899530.9,3068629.7,3076755.1,3423958.3,3660415.7,3870378.9," ""06000""",California,Millions of current dollars,CA
66051.5,67750.2,69704.9,74418.4,78680.1,82991.6,87596.7,91876.5,95179.3,92378.0,94788.3,96799.1,100905.4,103042.6,105219.5,106623.9,107795.4,110281.4,113166.4,116135.7,116709.4,129944.7,142762.3,151146.7," ""28000""",Mississippi,Millions of current dollars,MS
