companyName,cik,symbol,targetedCompanyName,targetedCik,targetedSymbol,transactionDate,acceptanceTime,url
CVB FINANCIAL CORP,0000354647,CVBF,SUNCREST BANK,0000000000,SBKK,2021-09-14,2021-09-14 16:31:29,https://www.sec.gov/Archives/edgar/data/354647/000119312521272900/d216515ds4.htm
FNB CORP/PA/,0000037808,FNB-PE,"HOWARD BANCORP, INC.",0001390162,HBMD,2021-09-13,2021-09-13 16:16:46,https://www.sec.gov/Archives/edgar/data/37808/000119312521271452/d191747ds4.htm
FNB CORP/PA/,0000037808,FNB,"HOWARD BANCORP, INC.",0001390162,HBMD,2021-09-13,2021-09-13 16:16:46,https://www.sec.gov/Archives/edgar/data/37808/000119312521271452/d191747ds4.htm
MID PENN BANCORP INC,0000879635,MPB,RIVERVIEW,,,2021-09-13,2021-09-13 16:16:44,https://www.sec.gov/Archives/edgar/data/879635/000119312521271447/d145826ds4.htm
VIATRIS INC,0001792044,VTRS,ARDMORE SHIPPING CORPORATION,0001577437,ASC,2021-09-10,2021-09-10 17:01:55,https://www.sec.gov/Archives/edgar/data/69499/000119312521270106/d224377ds4.htm
BRIDGEWATER BANCSHARES INC,0001341317,BWBBP,"BRIDGEWATER BANCSHARES, INC.",0001341317,BWB,2021-09-10,2021-09-10 16:49:02,https://www.sec.gov/Archives/edgar/data/1341317/000155837021012394/tmb-20210909xs4.htm
BIOVENTUS INC.,0001665988,BVS,"MISONIX, INC.",0000880432,MSON,2021-09-08,2021-09-08 17:22:35,https://www.sec.gov/Archives/edgar/data/1665988/000119312521267967/d180330ds4.htm
"CEPTON, INC.",0001498233,CPTN,"CEPTON, INC.",0001498233,CPTNW,2021-09-08,2021-09-08 17:17:51,https://www.sec.gov/Archives/edgar/data/1498233/000121390021047072/fs42021_growthcapital.htm
"CEPTON, INC.",0001498233,CPTNW,"CEPTON, INC.",0001498233,CPTN,2021-09-08,2021-09-08 17:17:51,https://www.sec.gov/Archives/edgar/data/1498233/000121390021047072/fs42021_growthcapital.htm
VICI PROPERTIES INC.,0001705696,VICI,MGM GROWTH PROPERTIES LLC,0001656936,MGP,2021-09-08,2021-09-08 16:46:44,https://www.sec.gov/Archives/edgar/data/1705696/000119312521267902/d214293ds4.htm
"LEAFLY HOLDINGS, INC. /DE",0001785592,LFLYW,MERIDA MERGER CORP. I,0001785592,MCMJ,2021-09-08,2021-09-08 09:53:32,https://www.sec.gov/Archives/edgar/data/1785592/000121390021046970/fs42021_meridamerger1.htm
"LEAFLY HOLDINGS, INC. /DE",0001785592,LFLY,MERIDA MERGER CORP. I,0001785592,MCMJ,2021-09-08,2021-09-08 09:53:32,https://www.sec.gov/Archives/edgar/data/1785592/000121390021046970/fs42021_meridamerger1.htm
"GREENLIGHT BIOSCIENCES HOLDINGS, PBC",0001822691,GRNA,ENVIRONMENTAL IMPACT ACQUISITION CORP.,0001822691,ENVI,2021-09-07,2021-09-07 17:03:20,https://www.sec.gov/Archives/edgar/data/1822691/000119312521266723/d210518ds4.htm
"GREENLIGHT BIOSCIENCES HOLDINGS, PBC",0001822691,GRNAW,ENVIRONMENTAL IMPACT ACQUISITION CORP.,0001822691,ENVI,2021-09-07,2021-09-07 17:03:20,https://www.sec.gov/Archives/edgar/data/1822691/000119312521266723/d210518ds4.htm
SOUTHWESTERN ENERGY CO,0000007332,SWN,INDIGO,,,2021-09-03,2021-09-03 18:29:05,https://www.sec.gov/Archives/edgar/data/7332/000119312521265687/d219686ds4.htm
"FAST RADIUS, INC.",0001832351,FSRD,ECP ENVIRONMENTAL GROWTH OPPORTUNITIES CORP.,0001832351,ENNVU,2021-09-03,2021-09-03 17:16:56,https://www.sec.gov/Archives/edgar/data/1832351/000119312521265641/d182329ds4.htm
"FAST RADIUS, INC.",0001832351,FSRDW,ECP ENVIRONMENTAL GROWTH OPPORTUNITIES CORP.,0001832351,ENNVU,2021-09-03,2021-09-03 17:16:56,https://www.sec.gov/Archives/edgar/data/1832351/000119312521265641/d182329ds4.htm
CHESAPEAKE ENERGY CORP,0000895126,CHKEW,CHESAPEAKE ENERGY CORPORATION,0000895126,CHK,2021-09-01,2021-09-01 17:13:12,https://www.sec.gov/Archives/edgar/data/895126/000110465921112092/tm2125916-1_s4.htm
CHESAPEAKE ENERGY CORP,0000895126,CHK,VINE,,VEI,2021-09-01,2021-09-01 17:13:12,https://www.sec.gov/Archives/edgar/data/895126/000110465921112092/tm2125916-1_s4.htm
CHESAPEAKE ENERGY CORP,0000895126,CHKEL,CHESAPEAKE ENERGY CORPORATION,0000895126,CHK,2021-09-01,2021-09-01 17:13:12,https://www.sec.gov/Archives/edgar/data/895126/000110465921112092/tm2125916-1_s4.htm
CHESAPEAKE ENERGY CORP,0000895126,CHKEZ,CHESAPEAKE ENERGY CORPORATION,0000895126,CHK,2021-09-01,2021-09-01 17:13:12,https://www.sec.gov/Archives/edgar/data/895126/000110465921112092/tm2125916-1_s4.htm
"PERIMETER SOLUTIONS, SA",0001880319,PRMFF,EVERARC,,LSE,2021-09-01,2021-09-01 15:20:41,https://www.sec.gov/Archives/edgar/data/1880319/000119312521263163/d397057ds4.htm
"PERIMETER SOLUTIONS, SA",0001880319,PRM,EVERARC,,LSE,2021-09-01,2021-09-01 15:20:41,https://www.sec.gov/Archives/edgar/data/1880319/000119312521263163/d397057ds4.htm
"MARVELL TECHNOLOGY, INC.",0001835632,MRVL,INNOVIUM,,,2021-08-30,2021-08-30 09:11:33,https://www.sec.gov/Archives/edgar/data/1835632/000119312521260033/d212854ds4.htm
"HYPERFINE, INC.",0001833769,HYPR,HEALTHCOR CATALIO ACQUISITION CORP.,0000000000,HCAQ,2021-08-30,2021-08-30 09:02:34,https://www.sec.gov/Archives/edgar/data/1833769/000110465921110757/hcaq-20210830xs4.htm
SHORE BANCSHARES INC,0001035092,SHBI,"SEVERN BANCORP, INC.",0000868271,SVBI,2021-08-26,2021-08-26 17:16:53,https://www.sec.gov/Archives/edgar/data/1035092/000110465921109855/tm2125428-1_s4.htm
"ADVAXIS, INC.",0001100397,ADXS,BIOSIGHT,,BSTX,2021-08-25,2021-08-25 17:19:09,https://www.sec.gov/Archives/edgar/data/1100397/000149315221021247/forms-4.htm
"EQRX, INC.",0001843762,EQRXW,"EQRX, INC.",0001843762,EQRX,2021-08-25,2021-08-25 15:21:34,https://www.sec.gov/Archives/edgar/data/1843762/000121390021044765/fs42021_cmlifesci3.htm
"EQRX, INC.",0001843762,EQRX,"EQRX, INC.",0001843762,EQRXW,2021-08-25,2021-08-25 15:21:34,https://www.sec.gov/Archives/edgar/data/1843762/000121390021044765/fs42021_cmlifesci3.htm
"ADTHEORENT HOLDING COMPANY, INC.",0001838672,ADTHW,MCAP ACQUISITION CORPORATION,0001838672,MACQU,2021-08-23,2021-08-23 21:51:48,https://www.sec.gov/Archives/edgar/data/1838672/000110465921108724/tm2124295-1_s4.htm
"ADTHEORENT HOLDING COMPANY, INC.",0001838672,ADTH,MCAP ACQUISITION CORPORATION,0001838672,MACQU,2021-08-23,2021-08-23 21:51:48,https://www.sec.gov/Archives/edgar/data/1838672/000110465921108724/tm2124295-1_s4.htm
RANGER OIL CORP,0000077159,ROCC,PENN VIRGINIA CORPORATION,0000077159,PVAC,2021-08-23,2021-08-23 17:30:16,https://www.sec.gov/Archives/edgar/data/77159/000114036121029179/ny20000476x1_s4.htm
KITE REALTY GROUP TRUST,0001286043,KRG,"RETAIL PROPERTIES OF AMERICA, INC.",0001222840,RPAI,2021-08-23,2021-08-23 17:24:31,https://www.sec.gov/Archives/edgar/data/1286043/000110465921108637/tm2125523-1_s4.htm
UNITED BANKSHARES INC/WV,0000729986,UBSI,COMMUNITY BANKERS TRUST CORPORATION,0001323648,ESXB,2021-08-20,2021-08-20 15:21:40,https://www.sec.gov/Archives/edgar/data/729986/000119312521252648/d51762ds4.htm
"FRANKLIN BSP REALTY TRUST, INC.",0001562528,FBRT,CAPSTEAD MORTGAGE CORPORATION,0000766701,CMO,2021-08-19,2021-08-19 21:47:10,https://www.sec.gov/Archives/edgar/data/1562528/000114036121028940/forms4.htm
"FRANKLIN BSP REALTY TRUST, INC.",0001562528,FBRT-PE,"FRANKLIN BSP REALTY TRUST, INC.",0001562528,FBRT,2021-08-19,2021-08-19 21:47:10,https://www.sec.gov/Archives/edgar/data/1562528/000114036121028940/forms4.htm
"INDEPENDENCE REALTY TRUST, INC.",0001466085,IRT,"INDEPENDENCE REALTY TRUST, INC.",0001466085,IRT,2021-08-17,2021-08-17 08:38:34,https://www.sec.gov/Archives/edgar/data/1466085/000119312521248517/d91076ds4.htm
"SAB BIOTHERAPEUTICS, INC.",0001833214,SABS,BIG CYPRESS ACQUISITION CORP.,0001833214,BCYPU,2021-08-17,2021-08-17 06:08:31,https://www.sec.gov/Archives/edgar/data/1833214/000149315221020329/forms-4.htm
"SAB BIOTHERAPEUTICS, INC.",0001833214,SABSW,BIG CYPRESS ACQUISITION CORP.,0001833214,BCYPU,2021-08-17,2021-08-17 06:08:31,https://www.sec.gov/Archives/edgar/data/1833214/000149315221020329/forms-4.htm
"ZOOM VIDEO COMMUNICATIONS, INC.",0001585521,ZM,"FIVE9, INC.",0001288847,FIVN,2021-08-13,2021-08-13 16:35:36,https://www.sec.gov/Archives/edgar/data/1585521/000119312521246148/d131032ds4.htm
